UNIQUE_CARRIER_NAME,YEAR,QUARTER,Overall - OP_EXPENSES,Overall - OP_PROFIT_LOSS,Overall - OP_REVENUES,Rev - CHARTER_PAX,Rev - CHARTER_PROP,Rev - MAIL,Rev - MISC_OP_REV,Rev - PROP_BAG,Rev - PROP_FREIGHT,Rev - PUB_SVC_REVENUE,Rev - RES_CANCEL_FEES,Rev - TOTAL_CHARTER,Rev - TOTAL_MISC_REV,Rev - TOTAL_PROPERTY,Rev - TRANS_REVENUE,Rev - TRANS_REV_PAX,Exp - AIRCFT_SERVICES,Exp - FLYING_OPS,Exp - GENERAL_ADMIN,Exp - GENERAL_SERVICES,Exp - MAINTENANCE,Exp - PAX_SERVICE,Exp - PROMOTION_SALES,Exp - TRANS_EXPENSES
            Alaska Airlines Inc.             ,2000-01-01T00:00:00Z,2,401923,9956,411879,383,62,4027,633,1017,15297,300,6936,445,7569,16314,16047,367177,67272,141834,23330,NA,42537,34691,72250,2309
              Spirit Air Lines               ,2013-01-01T00:00:00Z,1,39454.49,6109.28,45563.77,0,0,0,9730.22,5872.2,0,0,979.36,NA,NA,NA,318.45,28663.54,1198.9,24752.41,7359.33,0,2550.85,2083.05,732.05,0
              Spirit Air Lines               ,2011-01-01T00:00:00Z,2,39994.74,5812.67,45807.41,0,0,0,6840.77,5718.4,0,0,1053.04,NA,NA,NA,345.46,31849.75,5206.78,26597.43,2039.16,0,1918.55,1684.75,2336.36,0
              Spirit Air Lines               ,2011-01-01T00:00:00Z,3,42239.23,7708.22,49947.44,0,0,0,8015.72,6376.45,0,0,1140.33,NA,NA,NA,336.97,34077.98,5733.77,27231.96,1880.75,0,2714.6,1786.77,2674.57,0
            Delta Air Lines Inc.             ,2008-01-01T00:00:00Z,1,3450398,-34938,3415460,16201,NA,NA,194283,25520,38530,NA,419,16201,194702,64050,1201298,1939209,393164,1026595,180677,NA,209569,205360,217465,1035215
              Spirit Air Lines               ,2012-01-01T00:00:00Z,2,40473.43,7663.4,48136.83,0,0,0,9548.84,6121.01,0,0,951.86,NA,NA,NA,334.87,31180.26,5675.19,25686.11,2323.84,0,2603.39,1680.07,2293.79,0
              Spirit Air Lines               ,2012-01-01T00:00:00Z,3,42871.14,7278.23,50149.37,0,0,0,11022.65,6370.25,0,0,993.09,NA,NA,NA,351.75,31411.63,6557.27,27603.97,1161.27,0,3076.09,1837.02,2416.5,0
            Delta Air Lines Inc.             ,2006-01-01T00:00:00Z,1,3272126,-281602,2990524,20801,NA,5615,91841,17517,47930,NA,260,20801,92101,65447,955995,1850565,442506,902673,283150,NA,226180,240129,183621,793061
              Spirit Air Lines               ,2013-01-01T00:00:00Z,3,39470.37,10758.39,50228.75,0,0,0,10342.45,6323.66,0,0,898.18,NA,NA,NA,299.7,32364.76,2505.52,24366.53,5562.67,0,2599.49,1533.19,1970.73,0
            United Air Lines Inc.            ,2005-01-01T00:00:00Z,4,3032581,-147225,2885356,6851,NA,15052,7676,6114,26827,NA,70533,6851,78209,32941,815598,1936705,386756,895443,97581,NA,308460,185837,221115,787365
            Delta Air Lines Inc.             ,2008-01-01T00:00:00Z,1,1008521,-115085,893436,NA,NA,6395,30727,768,69827,NA,2079,NA,32806,70595,63549,720091,102846,444879,47263,NA,57455,53719,56886,187088
            United Air Lines Inc.            ,2005-01-01T00:00:00Z,4,853945,-17711,836234,1534,NA,12472,2125,3091,88646,NA,50,1534,2175,91737,67287,661029,98642,355418,24805,NA,96423,104107,79890,40260
            United Air Lines Inc.            ,2005-01-01T00:00:00Z,4,536654,-16832,519822,7164,NA,11490,1264,1778,39850,NA,120,7164,1384,41628,39967,418189,83776,207636,16690,NA,64522,66124,38265,21972
            Delta Air Lines Inc.             ,2004-01-01T00:00:00Z,2,3363582,-198046,3165536,18431,NA,11312,133241,12223,47598,NA,242,18431,133483,59821,222723,2719766,462920,1007414,178034,NA,237760,278527,261773,726505
           American Airlines Inc.            ,2002-01-01T00:00:00Z,1,3368312,-616360,2751952,5061,NA,21265,9401,5108,32731,NA,NA,5061,9401,37839,128520,2549866,644246,998746,251130,NA,532900,420760,278337,24860
            Delta Air Lines Inc.             ,2006-01-01T00:00:00Z,2,3150103,392702,3542805,12327,NA,2277,99304,19515,48949,NA,332,12327,99636,68464,1168058,2192043,378132,936808,166894,NA,195851,197979,241921,829272
            Delta Air Lines Inc.             ,2006-01-01T00:00:00Z,4,3069899,92610,3162509,22530,NA,1872,94745,21821,45607,NA,292,22530,95037,67428,1093274,1882368,393254,887961,120762,NA,192405,197305,219968,810814
           American Airlines Inc.            ,2003-01-01T00:00:00Z,1,3764420,-872726,2891694,3473,NA,16335,13906,10257,30859,NA,NA,3473,13906,41116,393386,2423478,651804,1167923,335690,NA,424500,412927,291291,273592
           American Airlines Inc.            ,2013-01-01T00:00:00Z,4,3528291,48382,3576673,3561,0,1429,10568,69679,38062,0,68126,NA,NA,NA,644312,2740936,451234,1459374,328286,NA,320157,221568,199516,442676
            United Air Lines Inc.            ,2003-01-01T00:00:00Z,1,2613074,-608083,2004991,5234,NA,17836,16957,5053,31890,NA,64430,5234,81387,36943,239469,1624122,495089,796459,121967,NA,326540,255466,233394,242090
           American Airlines Inc.            ,2012-01-01T00:00:00Z,1,3646560,-157436,3489124,801,0,838,11364,82091,33091,0,75074,NA,NA,NA,601597,2684268,483185,1480841,331274,NA,352305,242245,203408,441013
           American Airlines Inc.            ,2008-01-01T00:00:00Z,2,4708902,-952011,3756891,1450,NA,19217,12668,23106,49335,NA,71739,1450,84407,72441,631701,2947675,543328,1763903,884310,NA,382674,277035,239652,453369
